id_commande,id_client,id_produit,date_commande,quantite,prix_unitaire,statut,ville_livraison,mode_paiement,id_livreur,date_livraison
CMD000000,C05245,P00494,24/02/2026,5,2501.07,DONE,Tnja,CASH,,2025-11-12
CMD000001,C02001,P00735,2025-02-22,2,3673.9,KO,TNG,CARD,L35,2026-04-29
CMD000002,C08470,P00075,25/11/2024,3,2215.03,OK,CAS,CARD,L18,2026-04-09
CMD000003,C02795,P00701,2026-03-13,5,2446.43,DONE,tanger,CASH,L12,2026-04-12
CMD000004,C05585,P00701,2025-01-26,3,4309.62,OK,tanger,CARD,L8,2025-10-19
CMD000005,C06073,P00255,Sep 22 2025,3,745.05,KO,Rabat,CARD,L33,2026-04-10
CMD000006,C03970,P00344,Jul 10 2024,3,2735.47,KO,TNG,CASH,L25,2026-01-23
CMD000007,C09089,P00569,Jun 10 2025,1,2956.74,KO,CAS,CARD,L35,2025-06-17
CMD000008,C08169,P00685,10/10/2025,5,4776.35,KO,tanger,CARD,L1,2025-08-15
CMD000009,C09089,P00031,2026-05-06,3,4957.74,OK,Rabat,CASH,L14,2026-05-01
CMD000010,C01513,P00850,18/12/2025,1,4209.06,DONE,Tnja,CASH,,2025-10-30
CMD000011,C05368,P00576,2025-10-04,5,3171.24,KO,TNG,CARD,L49,2025-06-12
CMD000012,C09978,P00231,29/04/2025,1,2994.65,OK,Tnja,CARD,,2025-12-18
CMD000013,C00717,P00219,12/04/2026,5,3366.44,OK,CAS,CARD,L5,2026-02-21
CMD000014,C04384,P00875,2026-03-12,1,3644.34,KO,Tnja,CASH,L2,2025-08-04
CMD000015,C01160,P00524,2026-03-20,2,3865.03,OK,Rabat,CARD,L39,2025-12-25
CMD000016,C07207,P00145,30/03/2026,3,1354.86,KO,CAS,CARD,L15,2025-11-09
CMD000017,C09550,P00076,2025-07-02,2,0.0,KO,tanger,CARD,L19,2026-03-03
CMD000018,C01024,P00449,2025-07-18,2,434.53,OK,CAS,CARD,L34,2025-11-23
CMD000019,C09089,P00589,Apr 07 2026,4,3518.02,OK,Tnja,CARD,L49,2026-04-01
CMD000020,C07480,P00090,2025-12-03,3,3917.16,OK,CAS,CARD,L23,2026-04-06
CMD000021,C06874,P00468,2024-07-16,3,2199.1,OK,Tnja,CARD,L8,2025-11-19
CMD000022,C00289,P00709,2024-06-06,2,2521.33,KO,Rabat,CASH,L37,2025-06-25
CMD000023,C05555,P00140,2025-06-26,2,4432.53,KO,CAS,CARD,L2,2025-08-13
CMD000024,C08409,P00661,2026-02-18,2,4371.59,KO,Rabat,CASH,L27,2025-08-09
CMD000025,C03132,P00769,29/11/2024,4,3378.99,OK,Tnja,CASH,L10,2025-10-26
CMD000026,C03553,P00133,17/02/2025,5,4220.5,OK,tanger,CASH,L15,2025-08-24
CMD000027,C04051,P00501,2025-02-25,-2,0.0,KO,Tnja,CARD,L43,2026-05-08
CMD000028,C05453,P00753,2025-03-15,1,307.67,OK,TNG,CARD,L32,2026-04-30
CMD000029,C07552,P00753,18/04/2026,5,1692.04,DONE,Rabat,CASH,L13,2025-07-25
CMD000030,C03160,P00786,2026-04-08,5,4560.93,DONE,CAS,CARD,L35,2026-04-19
CMD000031,C06766,P00717,07/05/2025,2,4556.0,OK,CAS,CARD,L31,2025-09-13
CMD000032,C09347,P00723,2025-10-25,4,3028.86,KO,TNG,CARD,L23,2025-05-16
CMD000033,C04338,P00098,2024-10-14,5,2745.36,DONE,TNG,CARD,L11,2026-04-14
CMD000034,C07741,P00345,2024-06-28,4,287.04,KO,tanger,CARD,L17,2026-05-02
CMD000035,C08792,P00545,27/03/2025,5,3739.72,DONE,CAS,CARD,L38,2025-11-28
CMD000036,C03291,P00538,2026-01-29,1,2912.5,KO,tanger,CARD,L46,2026-05-04
CMD000037,C08813,P00879,07/08/2024,2,1279.72,KO,TNG,CASH,L49,2025-07-11
CMD000038,C08731,P00447,2024-09-08,-3,2013.02,DONE,TNG,CARD,L49,2026-02-05
CMD000039,C00776,P00513,30/11/2024,4,2459.46,DONE,Rabat,CASH,L21,2026-01-15
CMD000040,C02926,P00855,2025-12-21,5,4524.16,OK,tanger,CARD,L39,2026-02-16
CMD000041,C07737,P00579,2024-08-15,4,3617.96,OK,Rabat,CASH,L47,2026-04-01
CMD000042,C06501,P00456,2026-02-26,5,4137.0,KO,tanger,CARD,,2025-12-18
CMD000043,C02670,P00326,Feb 26 2026,1,4215.81,KO,CAS,CASH,,2026-03-12
CMD000044,C09672,P00997,2025-07-02,5,2680.7,DONE,Tnja,CARD,,2026-01-29
CMD000045,C06262,P00696,2025-11-05,3,1787.48,OK,tanger,CARD,L11,2026-02-08
CMD000046,C09310,P00183,2024-07-30,2,656.71,DONE,TNG,CASH,L30,2025-11-14
CMD000047,C00473,P00989,09/08/2024,2,3573.43,DONE,CAS,CASH,,2025-12-10
CMD000048,C02306,P00232,Nov 21 2025,3,3078.41,DONE,CAS,CARD,L27,2025-12-07
CMD000049,C03350,P00850,2026-02-10,3,2001.04,OK,Tnja,CASH,L19,2026-02-21
CMD000050,C07974,P00451,Aug 07 2024,5,4865.49,KO,CAS,CARD,L23,2025-06-25
CMD000051,C01437,P00794,2025-12-09,4,2032.94,DONE,Rabat,CASH,L29,2025-09-17
CMD000052,C09166,P00975,Oct 16 2025,5,4252.56,KO,tanger,CARD,L12,2026-01-11
CMD000053,C08688,P00402,2025-12-28,2,523.77,OK,Tnja,CASH,L36,2025-09-05
CMD000054,C09571,P00456,2024-09-27,4,4709.74,DONE,tanger,CASH,L34,2025-06-10
CMD000055,C00897,P00895,2025-03-28,2,4380.99,KO,Rabat,CARD,L46,2025-06-17
CMD000056,C05315,P00481,2024-08-28,2,1719.5,DONE,Tnja,CARD,L5,2025-10-13
CMD000057,C05209,P00790,Jun 25 2024,4,2703.23,OK,Tnja,CASH,L5,2026-01-17
CMD000058,C08221,P00657,12/07/2024,1,1243.87,KO,Rabat,CASH,L47,2026-01-30
CMD000059,C06715,P00827,2024-10-21,3,4611.56,OK,tanger,CARD,,2025-06-17
CMD000060,C05484,P00378,2025-08-29,2,2369.25,DONE,TNG,CASH,L5,2025-09-25
CMD000061,C09848,P00369,Jul 10 2024,4,1932.88,DONE,CAS,CARD,L13,2025-12-12
CMD000062,C02606,P00817,Oct 30 2025,5,127.86,KO,tanger,CASH,L6,2025-06-13
CMD000063,C08742,P00260,May 25 2024,1,3043.72,KO,Tnja,CARD,L44,2025-09-23
CMD000064,C01118,P00192,May 13 2024,2,984.31,OK,tanger,CASH,L38,2026-05-03
CMD000065,C00162,P00536,2025-01-15,5,1855.81,KO,CAS,CARD,L37,2025-09-19
CMD000066,C07769,P00109,2025-04-20,3,3809.05,DONE,TNG,CARD,,2025-12-05
CMD000067,C09239,P00554,20/12/2025,3,3089.75,DONE,tanger,CASH,L2,2025-07-03
CMD000068,C06974,P00297,2026-04-20,2,4100.25,KO,Tnja,CARD,L18,2026-02-01
CMD000069,C02331,P00745,24/05/2024,3,4798.33,DONE,Tnja,CASH,L3,2026-03-08
CMD000070,C09648,P00528,May 22 2025,3,3458.83,OK,tanger,CASH,L12,2026-04-07
CMD000071,C01282,P00215,Jul 15 2024,1,3262.6,KO,Rabat,CARD,,2025-11-18
CMD000072,C03767,P00500,26/09/2025,1,3379.16,OK,tanger,CARD,L24,2026-03-28
CMD000073,C07060,P00027,20/02/2026,1,1107.65,KO,TNG,CARD,L30,2025-08-20
CMD000074,C05072,P00432,Mar 16 2026,2,4780.15,KO,TNG,CASH,L14,2026-03-06
CMD000075,C04219,P00248,20/08/2024,2,3353.65,KO,CAS,CARD,L48,2025-10-19
CMD000076,C05591,P00616,2025-02-20,2,2171.85,DONE,CAS,CASH,L14,2025-07-16
CMD000077,C05991,P00964,19/02/2025,2,4408.38,DONE,Rabat,CASH,L11,2025-10-13
CMD000078,C05404,P00478,Jan 23 2026,5,644.23,OK,CAS,CARD,L30,2025-11-27
CMD000079,C05628,P00307,2025-10-08,2,1570.63,DONE,CAS,CARD,L29,2025-12-09
CMD000080,C06802,P00819,22/09/2024,2,1931.93,DONE,CAS,CASH,L3,2025-05-21
CMD000081,C07032,P00907,08/05/2025,2,1548.8,OK,Rabat,CARD,L34,2026-05-04
CMD000082,C09380,P00014,08/11/2024,5,0.0,OK,Tnja,CARD,L31,2026-04-23
CMD000083,C00564,P00858,04/07/2024,2,3505.77,OK,CAS,CASH,L25,2025-09-22
CMD000084,C02660,P00951,Mar 23 2025,1,2793.99,DONE,Rabat,CASH,L28,2025-11-11
CMD000085,C05126,P00592,2025-12-05,3,2518.81,DONE,Rabat,CASH,L44,2025-11-02
CMD000086,C03926,P00353,2024-07-04,4,4105.01,KO,TNG,CASH,L2,2026-04-02
CMD000087,C07726,P00005,08/05/2025,1,4425.09,DONE,tanger,CASH,,2026-04-13
CMD000088,C08876,P00600,Dec 03 2025,1,743.16,OK,Rabat,CARD,L50,2025-09-16
CMD000089,C07323,P00119,31/05/2025,5,1528.18,OK,tanger,CARD,L35,2025-12-27
CMD000090,C01632,P00787,29/12/2024,4,4494.95,OK,CAS,CASH,L26,2025-12-19
CMD000091,C07570,P00734,Feb 28 2026,4,3184.98,KO,tanger,CASH,L13,2025-12-04
CMD000092,C05003,P00921,20/06/2025,1,4937.97,KO,tanger,CARD,L13,2026-01-22
CMD000093,C05725,P00158,13/08/2025,4,4760.96,KO,tanger,CARD,L17,2026-02-04
CMD000094,C06207,P00478,2025-03-03,3,1568.92,KO,Tnja,CARD,L8,2025-08-07
CMD000095,C00221,P00856,14/08/2024,5,185.0,DONE,tanger,CASH,L29,2025-11-21
CMD000096,C07777,P00246,26/07/2024,4,2496.61,DONE,TNG,CASH,L10,2025-07-26
CMD000097,C02694,P00657,2025-08-01,5,1193.7,DONE,TNG,CASH,L18,2026-04-25
CMD000098,C08831,P00431,Jul 18 2024,3,2519.68,KO,tanger,CASH,L4,2025-12-04
CMD000099,C06245,P00166,25/12/2025,3,4277.01,DONE,Tnja,CARD,L16,2026-03-26
CMD000100,C04672,P00057,2024-09-17,2,2590.19,OK,CAS,CARD,L15,2026-04-20
CMD000101,C08613,P00048,21/05/2025,3,1803.44,DONE,tanger,CARD,L50,2026-02-17
CMD000102,C09036,P00139,2026-03-08,2,4651.98,OK,CAS,CASH,L35,2025-12-01
CMD000103,C01726,P00683,21/03/2025,3,4670.84,OK,Rabat,CASH,L24,2025-05-31
CMD000104,C03699,P00164,2026-05-07,3,2790.88,KO,Tnja,CARD,L5,2025-11-01
CMD000105,C00622,P00068,2025-08-08,4,4220.75,OK,CAS,CARD,L3,2025-06-02
CMD000106,C01294,P00642,2024-10-21,5,1000.83,OK,Rabat,CASH,L11,2025-11-22
CMD000107,C09920,P00720,2026-04-12,3,3895.48,DONE,tanger,CARD,L20,2025-07-01
CMD000108,C05888,P00393,10/07/2025,4,2002.22,KO,tanger,CASH,L36,2026-03-19
CMD000109,C07877,P00320,31/12/2024,5,0.0,DONE,CAS,CARD,L36,2026-05-03
CMD000110,C03247,P00115,Oct 02 2025,4,4944.32,KO,Rabat,CASH,L38,2025-12-10
CMD000111,C06466,P00558,2025-03-05,5,688.38,KO,TNG,CARD,L43,2026-01-29
